T22,Land,,,,,
498,Republic of Moldova,2017,Permanent crops (% of total land area),7.2058,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
498,Republic of Moldova,2017,Forest cover (% of total land area),12.4354,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
498,Republic of Moldova,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0000,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
498,Republic of Moldova,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0000,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
638,Réunion,2005,Land area (thousand hectares),250.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2005,Arable land (thousand hectares),35.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2005,Permanent crops (thousand hectares),3.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2005,Forest cover (thousand hectares),85.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2005,Arable land (% of total land area),14.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2005,Permanent crops (% of total land area),1.2000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2005,Forest cover (% of total land area),34.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.8645,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
638,Réunion,2010,Land area (thousand hectares),250.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2010,Arable land (thousand hectares),35.3000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2010,Permanent crops (thousand hectares),2.9000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2010,Forest cover (thousand hectares),88.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2010,Arable land (% of total land area),14.1200,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2010,Permanent crops (% of total land area),1.1600,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2010,Forest cover (% of total land area),35.2000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),47.0942,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
638,Réunion,2017,Land area (thousand hectares),251.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2017,Arable land (thousand hectares),34.1700,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2017,Permanent crops (thousand hectares),2.9500,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2017,Forest cover (thousand hectares),88.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2017,Arable land (% of total land area),13.6135,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2017,Permanent crops (% of total land area),1.1753,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2017,Forest cover (% of total land area),35.0598,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
638,Réunion,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),47.0943,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
638,Réunion,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),47.0943,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
642,Romania,2005,Land area (thousand hectares),22998.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2005,Arable land (thousand hectares),8985.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2005,Permanent crops (thousand hectares),510.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2005,Forest cover (thousand hectares),6391.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2005,Arable land (% of total land area),39.0686,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2005,Permanent crops (% of total land area),2.2176,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2005,Forest cover (% of total land area),27.7894,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),17.1745,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
642,Romania,2010,Land area (thousand hectares),23005.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2010,Arable land (thousand hectares),9146.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2010,Permanent crops (thousand hectares),463.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2010,Forest cover (thousand hectares),6515.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2010,Arable land (% of total land area),39.7566,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2010,Permanent crops (% of total land area),2.0126,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2010,Forest cover (% of total land area),28.3199,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),65.0326,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
642,Romania,2017,Land area (thousand hectares),23008.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2017,Arable land (thousand hectares),8543.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2017,Permanent crops (thousand hectares),415.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2017,Forest cover (thousand hectares),6861.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2017,Arable land (% of total land area),37.1306,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2017,Permanent crops (% of total land area),1.8037,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2017,Forest cover (% of total land area),29.8201,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
642,Romania,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),76.0219,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
642,Romania,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),76.0219,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
643,Russian Federation,2005,Land area (thousand hectares),1638139.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2005,Arable land (thousand hectares),121781.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2005,Permanent crops (thousand hectares),1800.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2005,Forest cover (thousand hectares),808790.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2005,Arable land (% of total land area),7.4341,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2005,Permanent crops (% of total land area),0.1099,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2005,Forest cover (% of total land area),49.3725,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),24.9575,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
643,Russian Federation,2010,Land area (thousand hectares),1637687.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2010,Arable land (thousand hectares),121649.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2010,Permanent crops (thousand hectares),1650.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2010,Forest cover (thousand hectares),815135.6000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2010,Arable land (% of total land area),7.4281,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2010,Permanent crops (% of total land area),0.1008,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2010,Forest cover (% of total land area),49.7736,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),25.0919,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
643,Russian Federation,2017,Land area (thousand hectares),1637687.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2017,Arable land (thousand hectares),121649.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2017,Permanent crops (thousand hectares),1600.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2017,Forest cover (thousand hectares),814930.5000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2017,Arable land (% of total land area),7.4281,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2017,Permanent crops (% of total land area),0.0977,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2017,Forest cover (% of total land area),49.7611,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
643,Russian Federation,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),25.1240,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
643,Russian Federation,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),25.1240,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
646,Rwanda,2005,Land area (thousand hectares),2467.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2005,Arable land (thousand hectares),1082.9000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2005,Permanent crops (thousand hectares),250.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2005,Forest cover (thousand hectares),385.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2005,Arable land (% of total land area),43.8954,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2005,Permanent crops (% of total land area),10.1338,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2005,Forest cover (% of total land area),15.6060,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),51.6852,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
646,Rwanda,2010,Land area (thousand hectares),2467.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2010,Arable land (thousand hectares),1123.9200,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2010,Permanent crops (thousand hectares),250.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2010,Forest cover (thousand hectares),446.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2010,Arable land (% of total land area),45.5582,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2010,Permanent crops (% of total land area),10.1338,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2010,Forest cover (% of total land area),18.0786,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),51.6852,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
646,Rwanda,2017,Land area (thousand hectares),2467.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2017,Arable land (thousand hectares),1151.7000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2017,Permanent crops (thousand hectares),250.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2017,Forest cover (thousand hectares),480.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2017,Arable land (% of total land area),46.6842,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2017,Permanent crops (% of total land area),10.1338,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2017,Forest cover (% of total land area),19.4568,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
646,Rwanda,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),51.6852,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
646,Rwanda,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),51.6852,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
654,Saint Helena,2005,Land area (thousand hectares),39.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
654,Saint Helena,2005,Arable land (thousand hectares),4.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
654,Saint Helena,2005,Forest cover (thousand hectares),2.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
654,Saint Helena,2005,Arable land (% of total land area),10.2564,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
654,Saint Helena,2005,Forest cover (% of total land area),5.1282,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
654,Saint Helena,2010,Land area (thousand hectares),39.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
654,Saint Helena,2010,Arable land (thousand hectares),4.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
654,Saint Helena,2010,Forest cover (thousand hectares),2.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
654,Saint Helena,2010,Arable land (% of total land area),10.2564,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
654,Saint Helena,2010,Forest cover (% of total land area),5.1282,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
654,Saint Helena,2017,Land area (thousand hectares),39.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
654,Saint Helena,2017,Arable land (thousand hectares),4.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
654,Saint Helena,2017,Forest cover (thousand hectares),2.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
654,Saint Helena,2017,Arable land (% of total land area),10.2564,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
654,Saint Helena,2017,Forest cover (% of total land area),5.1282,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2005,Land area (thousand hectares),26.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2005,Arable land (thousand hectares),3.9700,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2005,Permanent crops (thousand hectares),0.0300,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2005,Forest cover (thousand hectares),11.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2005,Arable land (% of total land area),15.2692,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2005,Permanent crops (% of total land area),0.1154,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2005,Forest cover (% of total land area),42.3077,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0000,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
659,Saint Kitts and Nevis,2010,Land area (thousand hectares),26.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2010,Arable land (thousand hectares),4.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2010,Permanent crops (thousand hectares),0.1000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2010,Forest cover (thousand hectares),11.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2010,Arable land (% of total land area),17.3077,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2010,Permanent crops (% of total land area),0.3846,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2010,Forest cover (% of total land area),42.3077,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),22.3495,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
659,Saint Kitts and Nevis,2017,Land area (thousand hectares),26.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2017,Arable land (thousand hectares),5.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2017,Permanent crops (thousand hectares),0.1000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2017,Forest cover (thousand hectares),11.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2017,Arable land (% of total land area),19.2308,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2017,Permanent crops (% of total land area),0.3846,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2017,Forest cover (% of total land area),42.3077,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
659,Saint Kitts and Nevis,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),56.8199,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
659,Saint Kitts and Nevis,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),56.8199,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
662,Saint Lucia,2005,Land area (thousand hectares),61.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2005,Arable land (thousand hectares),2.2000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2005,Permanent crops (thousand hectares),7.7000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2005,Forest cover (thousand hectares),20.9000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2005,Arable land (% of total land area),3.6066,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2005,Permanent crops (% of total land area),12.6230,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2005,Forest cover (% of total land area),34.2623,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),32.5690,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
662,Saint Lucia,2010,Land area (thousand hectares),61.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2010,Arable land (thousand hectares),3.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2010,Permanent crops (thousand hectares),7.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2010,Forest cover (thousand hectares),20.6000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2010,Arable land (% of total land area),4.9180,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2010,Permanent crops (% of total land area),11.4754,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2010,Forest cover (% of total land area),33.7705,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),45.5615,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
662,Saint Lucia,2017,Land area (thousand hectares),61.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2017,Arable land (thousand hectares),3.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2017,Permanent crops (thousand hectares),7.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
